txn_id,customer_id,amount,timestamp,merchant,risk_label,risk_score
1,103,48,2026-05-19 16:56:46.651442,BestBuy,0,0.96
2,436,40,2026-05-21 07:41:55.651464,Amazon,0,0.8
3,861,35,2026-05-21 22:23:34.651469,Amazon,0,0.7
4,271,71,2026-05-23 22:35:09.651472,Walmart,0,1.42
5,107,31,2026-05-21 23:03:21.651475,Walmart,0,0.62
6,72,46,2026-05-19 17:25:18.651477,Walmart,0,0.92
7,701,108,2026-05-22 18:48:28.651480,Amazon,0,2.16
8,21,98,2026-05-20 01:29:52.651482,Target,0,1.96
9,615,113,2026-05-25 08:17:26.651484,Target,0,2.26
10,122,144,2026-05-22 10:46:08.651487,Target,0,2.88
11,467,59,2026-05-25 14:20:37.651489,BestBuy,0,1.18
12,215,160,2026-05-21 19:20:11.651491,Amazon,0,3.2
13,331,56,2026-05-19 23:31:27.651493,Target,0,1.12
14,459,112,2026-05-24 06:25:01.651495,Amazon,0,2.24
15,88,34,2026-05-24 18:07:48.651498,Amazon,0,0.68
16,373,159,2026-05-22 03:21:01.651500,BestBuy,0,3.18
17,100,297,2026-05-24 12:58:55.651502,Walmart,0,5.94
18,872,66,2026-05-23 11:55:24.651504,Walmart,0,1.32
19,664,32,2026-05-21 21:08:10.651506,BestBuy,0,0.64
20,131,110,2026-05-25 07:56:18.651508,BestBuy,0,2.2
21,662,105,2026-05-21 23:36:18.651511,Amazon,0,2.1
22,309,92,2026-05-21 23:49:35.651513,Target,0,1.84
23,770,61,2026-05-24 18:35:09.651515,Amazon,0,1.22
24,344,16,2026-05-21 12:46:38.651517,Amazon,0,0.32
25,492,74,2026-05-24 18:24:38.651519,Target,0,1.48
26,414,111,2026-05-21 18:08:04.651521,Walmart,0,2.22
27,806,50,2026-05-23 12:49:08.651524,Amazon,0,1.0
28,386,165,2026-05-24 21:54:08.651526,Walmart,0,3.3
29,192,92,2026-05-24 06:51:36.651528,Walmart,0,1.84
30,956,69,2026-05-24 22:04:47.651530,Walmart,0,1.38
31,277,23,2026-05-21 01:58:39.651532,Amazon,0,0.46
32,161,73,2026-05-24 10:05:04.651534,Target,0,1.46
33,460,37,2026-05-19 05:15:17.651536,Target,0,0.74
34,314,134,2026-05-20 22:16:40.651539,Walmart,0,2.68
35,22,97,2026-05-22 18:06:37.651541,Walmart,0,1.94
36,253,43,2026-05-21 04:00:27.651543,Target,0,0.86
37,748,31,2026-05-19 13:24:06.651545,BestBuy,0,0.62
38,857,33,2026-05-22 03:56:25.651547,BestBuy,0,0.66
39,561,14,2026-05-24 13:06:43.651549,Walmart,0,0.28
40,475,164,2026-05-24 16:24:14.651551,Target,0,3.28
41,59,111,2026-05-20 23:22:34.651553,BestBuy,0,2.22
42,511,24,2026-05-23 14:06:20.651556,Target,0,0.48
43,682,153,2026-05-22 21:32:45.651558,Amazon,0,3.06
44,476,61,2026-05-21 15:34:30.651560,Walmart,0,1.22
45,700,53,2026-05-23 22:40:03.651562,BestBuy,0,1.06
46,976,43,2026-05-24 20:51:30.651564,Walmart,0,0.86
47,783,35,2026-05-22 19:55:17.651566,Amazon,0,0.7
48,190,98,2026-05-20 21:36:24.651568,Target,0,1.96
49,958,171,2026-05-20 17:47:50.651570,Walmart,0,3.42
50,687,176,2026-05-19 12:10:42.651572,BestBuy,0,3.52
51,958,50,2026-05-24 21:32:29.651574,Amazon,0,1.0
52,563,18,2026-05-22 00:43:07.651576,BestBuy,0,0.36
53,876,123,2026-05-19 12:22:51.651578,Target,0,2.46
54,567,85,2026-05-24 01:59:06.651581,BestBuy,0,1.7
55,244,215,2026-05-24 04:42:23.651583,BestBuy,1,43.0
56,832,182,2026-05-21 02:58:58.651585,BestBuy,0,3.64
57,505,86,2026-05-23 15:59:44.651587,Amazon,0,1.72
58,131,259,2026-05-24 19:03:04.651589,BestBuy,1,51.8
59,485,104,2026-05-23 22:59:00.651591,BestBuy,0,2.08
60,819,69,2026-05-22 15:14:25.651593,Amazon,0,1.38
61,647,11,2026-05-23 02:15:57.651595,Amazon,0,0.22
62,21,35,2026-05-22 02:22:50.651597,Amazon,0,0.7
63,841,72,2026-05-25 14:53:05.651599,Target,0,1.44
64,167,64,2026-05-21 13:33:55.651603,Amazon,0,1.28
65,274,113,2026-05-20 15:21:06.651606,Target,0,2.26
66,388,52,2026-05-20 20:24:06.651608,Amazon,0,1.04
67,601,159,2026-05-24 05:07:24.651610,Amazon,0,3.18
68,316,115,2026-05-19 02:11:05.651612,Walmart,0,2.3
69,14,165,2026-05-24 18:48:31.651614,Walmart,0,3.3
70,242,90,2026-05-19 05:53:57.651616,Walmart,0,1.8
71,777,180,2026-05-25 07:03:19.651619,Walmart,0,3.6
72,346,57,2026-05-25 13:04:30.651621,Amazon,0,1.14
73,565,60,2026-05-25 06:03:58.651623,Amazon,0,1.2
74,898,74,2026-05-19 18:20:20.651625,Target,0,1.48
75,340,202,2026-05-19 05:55:29.651627,Amazon,0,4.04
76,92,35,2026-05-19 23:53:02.651629,Target,0,0.7
77,367,90,2026-05-22 14:45:07.651631,BestBuy,0,1.8
78,956,110,2026-05-20 01:43:56.651634,BestBuy,0,2.2
79,455,62,2026-05-22 07:40:55.651637,Amazon,0,1.24
80,428,25,2026-05-21 13:37:33.651639,BestBuy,0,0.5
81,509,121,2026-05-19 05:11:56.651641,Amazon,0,2.42
